WORD,TYPE,PLURAL,SYNONYM,ANTONYM
إقالة,اسم,,,تعيين;تثبيت
إقامة,اسم,,,ارتحال;هجرة;ظعن
إقعاد,اسم,,,إيقاف
إقليد,اسم,أقاليد,,
إقليد,اسم,أقلاد,,
إكاد,اسم,أكائد,,
إكاف,اسم,أكف,,
إكباء,اسم,,,إيراء
إكثار,اسم,,,إقلال
إكذاب,اسم,,,تصديق
إكليل,اسم,أكاليل,,
إلاف,اسم,,,غدر;خيانة
إلة,اسم,إلل,,
إلتجاج,اسم,,,هدوء;سكون;إعراض
إلف,اسم,آلاف,,
إلفاج,اسم,,,اغتناء
إلقة,اسم,إلق,,
إله,اسم,آلهة,آلهة,شيطان
إلى,اسم,آلاء,,من
إلى,اسم,آلاء,,
إلي,اسم,,,
إمام,اسم,أئمة,,
إمساك,اسم,,,جود;سخاء;إفلات;إسهال
إمليد,اسم,,,خشن;قاسي
إمليسة,اسم,أماليس,,
إناء,اسم,آنية,,
إنتاغ,اسم,,,مدح
إنجيل,اسم,أناجيل,,
إنداء,اسم,,,بخل
إنزال,اسم,,,إعلاء
إنس,اسم,آناس,آناس,جنّ
إنسان,اسم,أناسي,أناسي,حيوان
إنسان,اسم,أفمام,,
إنسي,اسم,أناسي,أناسي,وحشيّ;جنّي
إنصاب,اسم,,,راحة
إنصاف,اسم,,,جور;ظلم
إنظام,اسم,أناظيم,,
إنفحة,اسم,أنافح,,
إنفخان,اسم,,,هزيل;نحيل
إنقاذ,اسم,,,هلاك
إنقاص,اسم,,,استزادة;زيادة
إنقاه,اسم,,,سقم;إسقام
إهاب,اسم,أهب,,
إهدار,اسم,,,وضوح
إوان,اسم,أون,,
إي,اسم,,,لا
إياب,اسم,,,ذهاب
إيجاب,اسم,,,سلب;نفي
إيجابية,اسم,,,سلبيّة
إيجاز,اسم,,,إسهاب;إطناب
إيقاظ,اسم,,,تغفيل;نوم
إيناس,اسم,,,توحّش;شكّ
ائتلاف,اسم,,,اختلاف;تنافر
ائتمام,اسم,,,
ائتمان,اسم,,,خيانة
ابتسام,اسم,,,عبوس
ابتسامة,اسم,,,عبوسة;عبوس
ابتعاد,اسم,,,اقتراب;دنوّ
ابتلاع,اسم,,,تقيّؤ
ابن,اسم,أبناء,,
ابن,اسم,بنات,,
ابيضاض,اسم,,,اسوداد
اتآد,اسم,,,تسرّع
اتآس,اسم,,,أمل
اجتماعي,اسم,,,انعزاليّ
اجتناب,اسم,,,تقرّب
